ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Feat/&ArtificerAlchemistResilienceElixirTitle	Elixir de Resiliência
Feat/&ArtificerAlchemistSwiftnessElixirDescription	Aumenta a velocidade de movimento do alvo em 3 metros por 1 hora
Feat/&ArtificerAlchemistSwiftnessElixirTitle	Elixir da Rapidez
Feat/&ArtificerArtilleristArcaneFirearmDescription	Ao lançar feitiços de evocação, cause 1d8 extra de dano uma vez por turno
Feat/&ArtificerArtilleristArcaneFirearmTitle	Aprimoramento de detonação
Feat/&ArtificerArtillerstDetonationSpellPreparedDescription	Você ganha a habilidade de detonar um de seus dispositivos causando danos àqueles próximos ao alvo
Feat/&ArtificerArtillerstDetonationSpellPreparedTitle	Detonação do dispositivo
Feat/&ArtificerArtillerstImprovedCannonsDescription	O efeito de seus canhões aumenta. Dano adicional do fogo, um alvo adicional da força e HP temporário adicional do escudo.
Feat/&ArtificerArtillerstImprovedCannonsTitle	Canhões Aprimorados
Feat/&ArtificialServantAttackDescription	Ataque à distância 1d6 de dano de força do seu fiel ajudante
Feat/&ArtificialServantAttackTitle	Eslinga de Força
Feat/&ArtificialServantDescription	O servo é amigável com você e seus companheiros, e obedece aos seus comandos
Feat/&ArtificialServantTitle	Servo Artificial
Feat/&ArtilleristCannonDetonationDescription	Detone um de seus dispositivos causando 3d8 de dano àqueles a até 6 metros do local alvo. Um teste de destreza permite que aqueles afetados recebam metade do dano.
Feat/&ArtilleristCannonDetonationTitle	Detonação do dispositivo
Feat/&ArtilleristFlameCannon15Description	Cospe fogo, causando 6d8 de dano de fogo em seus inimigos como uma ação bônus
Feat/&ArtilleristFlameCannon15Title	Lança-chamas
Feat/&ArtilleristFlameCannon9Description	Cospe fogo, causando 3d8 de dano de fogo em seus inimigos como uma ação bônus
Feat/&ArtilleristFlameCannon9Title	Lança-chamas
Feat/&ArtilleristFlameCannonDescription	Cospe fogo, causando 2d8 de dano de fogo em seus inimigos como uma ação bônus
Feat/&ArtilleristFlameCannonTitle	Lança-chamas
Feat/&ArtilleristForceCannon15Description	Use um ataque de força causando 3d8 de dano de força em um alvo como uma ação bônus para 2 alvos.
Feat/&ArtilleristForceCannon15Title	Canhão de Força
Feat/&ArtilleristForceCannon9Description	Use um ataque de força causando 3d8 de dano de força em um alvo como uma ação bônus
Feat/&ArtilleristForceCannon9Title	Canhão de Força
Feat/&ArtilleristForceCannonDescription	Use um ataque de força causando 2d8 de dano de força em um alvo como uma ação bônus
Feat/&ArtilleristForceCannonTitle	Canhão de Força
Feat/&ArtilleristProtectorCannon15Description	Emite energia positiva como uma ação bônus. Aliados a até 6 metros ganham 3d8 + seus pontos de vida temporários do modificador de Inteligência
Feat/&ArtilleristProtectorCannon15Title	Escudo Arcano
Feat/&ArtilleristProtectorCannonDescription	Emite energia positiva como uma ação bônus. Aliados a até 3 metros ganham 1d8 + seus pontos de vida temporários do modificador de Inteligência
Feat/&ArtilleristProtectorCannonTitle	Escudo Arcano
Feat/&ArtilleristSubclassSpellsDescription	Nível 3: Escudo, Thunderwave\nNível 5: Raio Escaldante, Estilhaçar\nNível 9: Bola de Fogo, Parede de Vento\nNível 13: Tempestade de Gelo, Muralha de Fogo\nNível 17: Cone de Frio, Muro de Força
Feat/&ArtilleristSubclassSpellsTitle	Aprenda feitiços de blaster
Feat/&ArtilleryConstructDescription	Pode danificar ou proteger aliados
Feat/&ArtilleryConstructLevel03AutopreparedSpellsDescription	Truques: Construir Remendar, Construir Dispensar\nNível 1: Retomar Construto de Artilharia
Feat/&ArtilleryConstructLevel03AutopreparedSpellsTitle	Construir Feitiços
Feat/&ArtilleryConstructLevel09AutopreparedSpellsDescription	
Feat/&ArtilleryConstructLevel09AutopreparedSpellsTitle	
Feat/&ArtilleryConstructLevel15AutopreparedSpellsDescription	
Feat/&ArtilleryConstructLevel15AutopreparedSpellsTitle	
Feat/&ArtilleryConstructTitle	Construção de Artilharia
Feat/&ArtilleryConstructTitle_3	Construção de Artilharia
Feat/&ArtilleryConstructTitle_5	Construção de Artilharia
Feat/&AttackModifierArtificerBattleSmithJolt2Description	Seus ataques com arma causam 3 de dano adicional
Feat/&AttackModifierArtificerBattleSmithJolt2Title	Choque de Ataque de Arma Aprimorado
Feat/&AttackModifierArtificerBattleSmithJoltDescription	Seus ataques com arma causam 3 de dano adicional
Feat/&AttackModifierArtificerBattleSmithJoltTitle	Golpe de Ataque de Arma
Feat/&AutoPreparedSpellsDescription	Míssil Mágico Nível 3, Thunderwave\nNível 5 desfoque, estilhaçar\nNível 9 Lightning Bolt, Wind Wall, Wall of Fire
Feat/&AutoPreparedSpellsTitle	Aprenda feitiços de Sentinela Escoteiro
Feat/&BattleSmithSubclassSpellsDescription	Nível 3: Escudo, Heroísmo, Marca do Caçador\nNível 5: Golpe de Marca, Arma Espiritual\nNível 9: Remover Maldição, Farol da Esperança\nNível 13: Fire Shield, Death Ward Level\n17: Cura de Ferimentos em Massa, Muro de Força
Feat/&BattleSmithSubclassSpellsTitle	Aprenda feitiços de ferreiro de arma
Feat/&CancelFlyingConditionDescription	Acabar com a condição de voo para permitir saltar e rastejar.
Feat/&CancelFlyingConditionTitle	Cancelar voo
Feat/&ChefConDescription	Você ganha +1 em Constituição. Gaste 1 hora para cozinhar uma refeição para curar você e seus companheiros 1d8. Uma vez por dia, você pode gastar uma hora para cozinhar guloseimas que fornecem HP temporário quando ingeridas.
Feat/&ChefConTitle	Chefe (Constituição)
Feat/&ChefShortRestFeastDescription	Gaste 1 hora para preparar uma refeição que ajude a curar você e seus companheiros 1d8.
Feat/&ChefShortRestFeastTitle	Refeição de Descanso Curto
Feat/&ChefWisDescription	Você ganha +1 em Sabedoria. Gaste 1 hora para cozinhar uma refeição para curar você e seus companheiros. Uma vez por dia, você pode gastar uma hora para cozinhar guloseimas que fornecem HP temporário quando ingeridas.
Feat/&ChefWisTitle	Chef (Sabedoria)
Feat/&ConstructSelectingPoolDescription	Selecione o modo para o seu Construct
Feat/&ConstructSelectingPoolTitle	Modo Artilharia
Feat/&DismissConstructDescription	Desinvoque sua construção
Feat/&DismissConstructTitle	Dispensar construção
Feat/&DualFlurryDescription	Você é um mestre da luta com armas emparelhadas. Em qualquer turno em que você acertar duas vezes com ataques corpo a corpo enquanto empunha uma arma em cada mão, você pode fazer um ataque adicional com a mão inábil.
Feat/&DualFlurryTitle	Dupla rajada
Feat/&ExtraInfusionSlotsDescription	Você ganha slots de infusão extras, deve ser usado em armaduras/armas
Feat/&ExtraInfusionSlotsTitle	Infusões extras
Feat/&FeatArcaneDefenseDescription	Aumente sua Inteligência em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Inteligência.
Feat/&FeatArcaneDefenseTitle	Defesa Arcana
Feat/&FeatArcanePrecisionDescription	Quando ativo em uma arma, seus ataques contam como Mágicos e você usa sua inteligência para suas jogadas de ataque e dano. Tem duração de 1 minuto e pode ser usado duas vezes antes de um descanso longo.
Feat/&FeatArcanePrecisionTitle	Precisão Arcana
Feat/&FeatBlindFightingStlyeDescription	Você tem visão às cegas com alcance de 3 metros.
Feat/&FeatBlindFightingStlyeTitle	Estilo de luta: Luta às cegas
Feat/&FeatBrutalThugDescription	Você acerta golpes poderosos nos lugares certos.\nVocê pode atacar furtivamente com armas marciais e obter mais proficiência em armas.
Feat/&FeatBrutalThugTitle	bandido brutal
Feat/&FeatChaIncrementDescription	+1 Carisma
Feat/&FeatChaIncrementTitle	Aumento do Atributo Carisma
Feat/&FeatCharismaticDefenseDescription	Aumente seu Carisma em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Carisma.
Feat/&FeatCharismaticDefenseTitle	Defesa Carismática
Feat/&FeatCharismaticPrecisionDescription	Quando ativo em uma arma, seus ataques contam como Mágicos e você usa seu carisma para suas jogadas de ataque e dano. Tem duração de 1 minuto e pode ser usado duas vezes antes de um descanso longo.
Feat/&FeatCharismaticPrecisionTitle	Precisão Carismática
Feat/&FeatChefConIncrementDescription	+1 Constituição
Feat/&FeatChefConIncrementTitle	Aumento de atributo
Feat/&FeatChefWisIncrementDescription	+1 Sabedoria
Feat/&FeatChefWisIncrementTitle	Aumento de atributo
Feat/&FeatDexIncrementDescription	+1 Destreza
Feat/&FeatDexIncrementTitle	Aumento de atributo
Feat/&FeatFeyTeleportationChaDescription	Aumente o atributo Carisma em 1. Ganhe a habilidade de Misty Step uma vez por descanso curto e aprenda o feitiço. Ganhe proficiência em Tirmarian.
Feat/&FeatFeyTeleportationChaTitle	Teletransporte Fey (Carisma)
Feat/&FeatFeyTeleportationIntDescription	Aumente o atributo Inteligência em 1. Ganhe a habilidade de Passo Nebuloso uma vez por descanso curto e aprenda o feitiço. Ganhe proficiência em Tirmarian.
Feat/&FeatFeyTeleportationIntTitle	Teletransporte Fey (Inteligência)
Feat/&FeatFeyTeleportationWisDescription	Aumente o atributo Sabedoria em 1. Ganhe a habilidade de Passo Nebuloso uma vez por descanso curto e aprenda o feitiço. Ganhe proficiência em Tirmarian.
Feat/&FeatFeyTeleportationWisTitle	Teletransporte Fey (Sabedoria)
Feat/&FeatFightingSurgeDexterityDescription	Aumente sua Destreza em 1, até um máximo de 20.\nNo seu turno, você pode realizar uma ação adicional além da sua ação normal e uma possível ação bônus. Depois de usar esse recurso, você deve terminar um descanso longo antes de poder usá-lo novamente.
Feat/&FeatFightingSurgeDexterityTitle	Surto de Combate (Destreza)
Feat/&FeatFightingSurgeStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nNo seu turno, você pode realizar uma ação adicional além da sua ação normal e uma possível ação bônus. Depois de usar esse recurso, você deve terminar um descanso longo antes de poder usá-lo novamente.
Feat/&FeatFightingSurgeStrengthTitle	Surto de Combate (Força)
Feat/&FeatHeavyArmorMasterClassDescription	Resistência a dano de Concussão, Corte e Perfuração.
Feat/&FeatHeavyArmorMasterClassTitle	Maestria em Defesa Pesada
Feat/&FeatImprovedCriticalDescription	Seus ataques são acertos críticos em uma rolagem de 19 ou 20.
Feat/&FeatImprovedCriticalTitle	Crítico aprimorado
Feat/&FeatIntIncrementDescription	+1 Inteligência
Feat/&FeatIntIncrementTitle	Aumento do atributo de inteligência
Feat/&FeatLightArmorDescription	Ganhe proficiência com Armadura Leve e +1 de Destreza
Feat/&FeatLightArmorProficiencyDescription	Ganhe proficiência com armadura leve
Feat/&FeatLightArmorProficiencyTitle	Armadura leve
Feat/&FeatLightArmorTitle	Armadura leve
Feat/&FeatMediumArmorDexDescription	Ganhe proficiência com armadura e escudos médios e +1 de destreza
Feat/&FeatMediumArmorDexTitle	Armadura Média (Destreza)
Feat/&FeatMediumArmorProficiencyDescription	Ganhe proficiência com armaduras e escudos médios
Feat/&FeatMediumArmorProficiencyTitle	Armadura Média
Feat/&FeatMediumArmorStrengthDescription	Ganhe proficiência com armadura e escudos médios e +1 de força
Feat/&FeatMediumArmorStrengthTitle	Armadura Média (Força)
Feat/&FeatMetamagicAdeptCarefulDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Cuidadosa e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptCarefulTitle	Metamágica: Cuidado
Feat/&FeatMetamagicAdeptDistantDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Distante e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptDistantTitle	Metamágica: Distante
Feat/&FeatMetamagicAdeptEmpoweredDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Emporewed e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptEmpoweredTitle	Metamágica: Empoderada
Feat/&FeatMetamagicAdeptExtendedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamagia Estendida e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptExtendedTitle	Metamágica: Estendida
Feat/&FeatMetamagicAdeptHeightenedDescription	Você aprende a metamágica Aprimorada e ganha 4 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptHeightenedTitle	Metamágica: Aumentada
Feat/&FeatMetamagicAdeptQuickenedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Quickned e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptQuickenedTitle	Metamágica: Acelerada
Feat/&FeatMetamagicAdeptTwinnedDescription	Aumente seu Carisma em 1, até um máximo de 20.\nVocê aprende a metamágica Geminada e ganha 2 pontos de feitiçaria.
Feat/&FeatMetamagicAdeptTwinnedTitle	Metamágica: Geminada
Feat/&FeatPrimalConstitutionDescription	Aumente sua Constituição em 1, até um máximo de 20.\nVocê pode inserir uma fúria como uma ação bônus conforme definido na característica de classe de fúria do Bárbaro com +1 de dano de fúria que pode acumular com a fúria do Bárbaro. Uma vez que você se enfureça dessa maneira, você deve terminar um descanso longo antes de usar esse recurso novamente.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Constituição.
Feat/&FeatPrimalConstitutionTitle	Fúria Primal (Constituição)
Feat/&FeatPrimalStrengthDescription	Aumente sua Força em 1, até um máximo de 20.\nVocê pode inserir uma fúria como uma ação bônus conforme definido na característica de classe de fúria do Bárbaro com +1 de dano de fúria que pode acumular com a fúria do Bárbaro. Uma vez que você se enfureça dessa maneira, você deve terminar um descanso longo antes de usar esse recurso novamente.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Constituição.
Feat/&FeatPrimalStrengthTitle	Fúria Primal (Força)
Feat/&FeatPugilistFightingStlyeDescription	Enquanto você estiver completamente desarmado, seus ataques desarmados causam um d8 adicional de dano e você pode socar com sua mão secundária como uma ação bônus.
Feat/&FeatPugilistFightingStlyeTitle	Estilo de luta: Pugilista
Feat/&FeatSavageAttackerDescription	Rerrole os dados de dano de arma e feitiço quando rolam 1 (não rola novamente todas as fontes de dano, por exemplo, exclui Ataque Furtivo e Golpear).
Feat/&FeatSavageAttackerReroll	Por ser um Atacante Selvagem, {0} rola novamente o dado {1} de um {2} para um {3}
Feat/&FeatSavageAttackerTitle	Atacante Selvagem
Feat/&FeatShadowTouchedChaDescription	Aumente o atributo Carisma em 1. Ganhe a habilidade de lançar Invisibilidade, Infligir Ferimentos e Vida Falsa uma vez por descanso longo e aprenda os feitiços.
Feat/&FeatShadowTouchedChaTitle	Tocado pela Sombra (Carisma)
Feat/&FeatShadowTouchedIntDescription	Aumente o atributo Inteligência em 1. Ganhe a habilidade de lançar Invisibilidade, Infligir Ferimentos e Vida Falsa uma vez por descanso longo e aprenda os feitiços.
Feat/&FeatShadowTouchedIntTitle	Sombra Tocada (Inteligência)
Feat/&FeatShadowTouchedWisDescription	Aumente o atributo Sabedoria em 1. Ganhe a habilidade de lançar Invisibilidade, Infligir Ferimentos e Vida Falsa uma vez por descanso longo e aprenda os feitiços.
Feat/&FeatShadowTouchedWisTitle	Sombra Tocada (Sabedoria)
Feat/&FeatShadyDescription	Aumente sua Destreza em 1, até um máximo de 20.\nUma vez por turno, você pode causar 1d6 de dano extra a uma criatura que você acertar com um ataque que atenda ao Ataque Furtivo do Ladino. No 12º nível este dano aumenta para 2d6 e no 20º nível para 4d6. Isso pode acumular com o ataque furtivo de Rogue.
Feat/&FeatShadyTitle	Sombrio
Feat/&FeatStrengthIncrementDescription	+1 Força
Feat/&FeatStrengthIncrementTitle	Aumento de atributo
Feat/&FeatTelekineticChaDescription	Aumente o atributo Carisma em 1. Ganhe uma habilidade de ação bônus para empurrar ou puxar criaturas.
Feat/&FeatTelekineticChaPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticChaPullTitle	Puxada Telecinética
Feat/&FeatTelekineticChaPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticChaPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticChaTitle	Telecinética (Carisma)
Feat/&FeatTelekineticIntDescription	Aumente o atributo Inteligência em 1. Ganhe uma habilidade de ação bônus para empurrar ou puxar criaturas.
Feat/&FeatTelekineticIntPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticIntPullTitle	Puxada Telecinética
Feat/&FeatTelekineticIntPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticIntPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticIntTitle	Telecinética (Inteligência)
Feat/&FeatTelekineticWisDescription	Aumente o atributo Sabedoria em 1. Ganhe uma habilidade de ação bônus para empurrar ou puxar criaturas.
Feat/&FeatTelekineticWisPullDescription	Puxe telecineticamente uma criatura em sua direção.
Feat/&FeatTelekineticWisPullTitle	Puxada Telecinética
Feat/&FeatTelekineticWisPushDescription	Empurre telecineticamente uma criatura para longe de você.
Feat/&FeatTelekineticWisPushTitle	Empurrão Telecinético
Feat/&FeatTelekineticWisTitle	Telecinética (Sabedoria)
Feat/&FeatToughDescription	Seu máximo de pontos de vida aumenta em uma quantidade igual ao dobro do seu nível quando você ganha este talento. Sempre que você ganha um nível depois disso, seu máximo de pontos de vida aumenta em 2 pontos de vida adicionais.
Feat/&FeatToughTitle	Difícil
Feat/&FeatWarCasterDescription	Você ganha vantagem em testes para manter a concentração. Você ganha a habilidade de realizar o componente somático de feitiços mesmo com as mãos cheias. Você ganha +2 nas jogadas de ataque de magia.
Feat/&FeatWarCasterTitle	Conjurador de Guerra
Feat/&FeatWiseDefenseDescription	Aumente sua Sabedoria em 1, até um máximo de 20.\nEnquanto você não estiver usando nenhuma armadura, sua CA é igual a 10 + seu modificador de Sabedoria.
Feat/&FeatWiseDefenseTitle	Defesa Sábia
Feat/&FeatWisePrecisionDescription	Quando ativo em uma arma, seus ataques contam como Mágicos e você usa sua sabedoria para suas jogadas de ataque e dano. Tem duração de 1 minuto e pode ser usado duas vezes antes de um descanso longo.
Feat/&FeatWisePrecisionTitle	Sábia Precisão
Feat/&FeatWisIncrementDescription	+1 Sabedoria
Feat/&FeatWisIncrementTitle	Aumento de Atributo de Sabedoria
Feat/&FeyTeleportationLanguageTirmarianDescription	Ganhe proficiência em Tirmarian.
Feat/&FeyTeleportationLanguageTirmarianTitle	timário
Feat/&FightingStyleArcheryDescription	Você ganha um bônus de +2 nas jogadas de ataque com armas de longo alcance.
Feat/&FightingStyleArcheryTitle	Estilo de luta: Tiro com arco
Feat/&FightingStyleDefenseDescription	Enquanto estiver usando armadura, você ganha +1 de bônus na CA.
Feat/&FightingStyleDefenseTitle	Estilo de luta: Defesa
Feat/&FightingStyleDuelingDescription	Quando você está empunhando uma arma corpo a corpo em uma mão e nenhuma outra arma, você ganha um bônus de +2 nas jogadas de dano com aquela arma.
Feat/&FightingStyleDuelingTitle	Estilo de luta: Duelo
Feat/&FightingStyleGeneralFeatDescription	Você pode selecionar um estilo de luta.
Feat/&FightingStyleGeneralFeatitle	Estilo de luta
Feat/&FightingStyleGreatWeaponDescription	Quando você rola um 1 ou 2 em um dado de dano para um ataque que você faz com uma arma corpo a corpo que você está empunhando com as duas mãos, você pode rolar o dado novamente. Você deve usar a nova rolagem, mesmo que seja 1 ou 2. A arma deve ter a propriedade de duas mãos ou versátil para que você ganhe esse benefício.
Feat/&FightingStyleGreatWeaponTitle	Estilo de luta: Grande arma
Feat/&FightingStyleProtectionDescription	Quando uma criatura que você pode ver ataca um alvo diferente de você que está a até 1,5 metro de você, você pode usar sua reação para impor desvantagem na jogada de ataque. Você deve estar empunhando um escudo.
Feat/&FightingStyleProtectionTitle	Estilo de luta: Proteção
Feat/&FightingStyleTwoWeaponDescription	Quando você luta com duas armas, você pode adicionar seu modificador de habilidade ao dano do segundo ataque.
Feat/&FightingStyleTwoWeaponTitle	Estilo de luta: Duas armas
Feat/&FlameArtillery_2Description	3D8 de dano de fogo (Cone)
Feat/&FlameArtillery_2Title	Artilharia Flamejante (Melhorada)
Feat/&FlameArtilleryConstructDescription	Cria um cone de fogo que causa 2D8 de dano se falhar na resistência.
Feat/&FlameArtilleryConstructDescription_3	Cria um cone de fogo que causa 3D8 de dano se falhar na resistência.
Feat/&FlameArtilleryConstructTitle	Construção de Artilharia Flamejante
Feat/&FlameArtilleryConstructTitle_3	Construção de Artilharia Flamejante
Feat/&FlameArtilleryConstructTitle_5	Construção de Artilharia Flamejante
Feat/&FlameArtilleryDescription	2D8 de dano de fogo (Cone)
Feat/&FlameArtilleryTitle	Artilharia Flamejante
Feat/&ForceArtillery_2Description	3D8 Dano de força e empurra o alvo 5 pés
Feat/&ForceArtillery_2Title	Artilharia da Força (Aprimorado)
Feat/&ForceArtilleryAdditionalDamageDescription	A construção atualizada causa 1D8 a mais de dano por acerto
Feat/&ForceArtilleryConstructDescription	Causa 2D8 de dano de força e empurra o inimigo 1,5 metro para longe do Constructo.
Feat/&ForceArtilleryConstructDescription_3	Causa 3D8 de dano de força e empurra o inimigo 5 pés para longe do Construct.
Feat/&ForceArtilleryConstructTitle	Força Artilharia Construída
Feat/&ForceArtilleryConstructTitle_3	Força Artilharia Construída
Feat/&ForceArtilleryConstructTitle_5	Força Artilharia Construída
Feat/&ForceArtilleryDescription	2D8 Dano de força e empurrão 5 pés
Feat/&ForceStrikePowerDescription	Ataque à distância 1d6 de dano de força do seu fiel ajudante
Feat/&ForceStrikePowerTitle	Force Sling (Servo Artificial)
Feat/&GauntletsGrappleDescription	Agora pode puxar os inimigos para o alcance corpo a corpo com uma ação bônus e causar 1D8 de dano trovejante
Feat/&GauntletsGrappleTitle	Garra de manopla
Feat/&HalfCoverShieldDescription	Dá 2 AC dentro de 10 pés
Feat/&HalfCoverShieldTitle	Cúpula Meia Cobertura
Feat/&HealerDescription	Você ganha proficiência ou perícia em testes de Medicina. Você ganha a habilidade de estabilizar uma criatura moribunda, bem como reviver uma criatura que morreu nos últimos 12 segundos uma vez por descanso longo. Você pode usar uma ação para restaurar 1d6 + 4 + pontos de vida do nível do personagem um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerResuscitateDescription	Use uma ação para reviver uma criatura que morreu nos últimos 15 segundos.
Feat/&HealerResuscitateTitle	Ressuscitar
Feat/&HealerStabilizeDescription	Use uma ação para estabilizar uma criatura moribunda.
Feat/&HealerStabilizeTitle	Estabilizar
Feat/&HealerTitle	Curador
Feat/&HealerUseMedicineDescription	Você pode usar uma ação para restaurar 1d6 + 4 + pontos de vida do nível do personagem um número de vezes por descanso curto igual ao seu modificador de Sabedoria.
Feat/&HealerUseMedicineTitle	Usar Medicina
Feat/&IncreaseConstructSelectingDescription	Agora você pode convocar dois Constructos de Artilharia. As construções podem ser do mesmo modo ou de modos diferentes
Feat/&IncreaseConstructSelectingTitle	Reforços
Feat/&InspiringLeaderDescription	Gaste 10 minutos para inspirar até 6 criaturas amigas (que podem incluir você mesmo) a até 9 metros de você. Cada criatura ganha pontos de vida temporários iguais ao seu nível + seu modificador de Carisma. Utilizável uma vez por descanso curto.
Feat/&InspiringLeaderTitle	Líder inspirador
Feat/&IntToAttackAndDamageDescription	Adicione Int em vez de Str ou Dex às suas Armas de Armadura
Feat/&IntToAttackAndDamageTitle	Arma de Amor
Feat/&MendingConstructDescription	Conserte sua construção por 2D6 ao longo de 1 min
Feat/&MendingConstructTitle	Consertando Construto
Feat/&ModeSwitchingPoolDescription	Você pode alternar entre os modos uma vez por dia criando e usando armas temporárias
Feat/&ModeSwitchingPoolTitle	Modo de armadura
Feat/&PickPocketFeatDescription	Você ganha proficiência com Prestidigitação, ou perícia se já for proficiente. Você também tem vantagem em testes de Prestidigitação.
Feat/&PickPocketFeatTitle	Batedor de carteiras
Feat/&PowerAlchemistEmboldeningShotsDescription	Você ganha a habilidade de administrar um elixier que encoraja seus aliados, fornecendo a eles 4d6+modificador de inteligência pontos de vida temporários
Feat/&PowerAlchemistEmboldeningShotsTitle	Tiros encorajadores
Feat/&PowerAlchemistGreaterRestorativeElixirsDescription	Uma vez por dia você pode lançar Greater Restoration
Feat/&PowerAlchemistGreaterRestorativeElixirsTitle	Maior Restauração
Feat/&PowerAlchemistHealElixirsDescription	Uma vez por dia você pode lançar Curar
Feat/&PowerAlchemistHealElixirsTitle	Curar
Feat/&PowerAlchemistRestorativeElixirsDescription	Você pode lançar Rotação Menor sem gastar um espaço de magia. Você pode fazer isso um número de vezes por descanso longo igual ao seu modificador de inteligência
Feat/&PowerAlchemistRestorativeElixirsTitle	Elixires Restauradores
Feat/&PowerAttackFeatDescription	Você aprendeu a trocar precisão com golpes mais mortais/mais fortes. Você pode escolher receber uma penalidade de -{0} ao seu acerto para causar mais dano (+{0} de dano para armas de uma mão, +{1} de dano para armas de duas mãos). Dura o turno inteiro uma vez ativado. Funciona com armas brancas e de longo alcance.
Feat/&PowerAttackFeatTitle	Ataque de poder
Feat/&PowerFalseLifeFromFeatDescription	Reforçando-se com um fac-símile necromântico da vida, você ganha 1d4+4 Pontos de Vida Temporários pela Duração.
Feat/&PowerFalseLifeFromFeatTitle	Vida Falsa
Feat/&PowerInflictWoundsFromFeatDescription	Faça um feitiço corpo a corpo Ataque contra uma criatura que você possa alcançar. Em um acerto, o alvo sofre 3d10 de dano necrótico.
Feat/&PowerInflictWoundsFromFeatTitle	Infligir Ferimentos
Feat/&PowerInvisibilityFromFeatDescription	Uma criatura que você tocar fica Invisível até que a magia termine. Qualquer coisa que o alvo esteja vestindo ou carregando é Invisível desde que esteja na pessoa do alvo. A magia termina para um alvo que ataque ou conjure uma magia.
Feat/&PowerInvisibilityFromFeatTitle	Invisibilidade
Feat/&PowerMistyStepFromFeatDescription	Brevemente cercado por névoa prateada, você se teletransporta até 9 metros para um espaço desocupado que você pode ver.
Feat/&PowerMistyStepFromFeatTitle	Passo Nebuloso
Feat/&PowerShadowTouchedFromFeatDescription	Aprenda a lançar os feitiços Invisibilidade, Vida Falsa e Infligir Ferimentos.
Feat/&PowerShadowTouchedFromFeatTitle	Aprenda Invisibilidade, Vida Falsa e Inflija Ferimentos
Feat/&ProfChefTreatActionDescription	Coma uma guloseima como uma ação bônus e ganhe 5 pontos de vida temporários.
Feat/&ProfChefTreatActionTitle	Coma o deleite do chef
Feat/&ProfChefTreatCookDescription	Gaste uma hora para cozinhar guloseimas que, quando comidas, fornecem 5 pontos de vida temporários.
Feat/&ProfChefTreatCookTitle	Cozinhe o deleite do chef
Feat/&ProfChefTreatDescription	Coma como uma ação bônus e ganhe 5 pontos de vida temporários.
Feat/&ProfChefTreatTitle	Delícia do Chef
Feat/&ProfHealerMedicineDescription	Ganhe Proficiência em Medicina ou Especialização se você já for proficiente.
Feat/&ProfHealerMedicineTitle	Conhecimento em Medicina
Feat/&ProtectorConstructAttackDescription	Corpo a corpo 1d10 de dano de força do constructo protetor
Feat/&ProtectorConstructAttackTitle	Força faz
Feat/&ProtectorConstructDescription	É amigável com você e seus companheiros e obedece aos seus comandos
Feat/&ProtectorConstructTitle	Construto Protetor
Feat/&RecklessFuryFeatDescription	Você ganha a habilidade de entrar em fúria por um minuto uma vez por dia (observe nenhuma restrição de armadura), e você pode atacar imprudentemente ganhando vantagem em seus ataques corpo a corpo enquanto dá vantagem aos seus atacantes até seu próximo turno.
Feat/&RecklessFuryFeatTitle	Fúria Imprudente
Feat/&ResummonArtilleryConstruct_03Title	Retomar Construto de Artilharia 1
Feat/&ResummonArtilleryConstruct_09Title	Retomar Construto de Artilharia 2
Feat/&ResummonArtilleryConstruct_15Title	Retomar Construto de Artilharia 3
Feat/&ResummonArtilleryConstructDescription	Este feitiço permite que o funileiro ressuscite um Artillery Construct em um dos vários modos após a convocação inicial expirar. A construção recuperada também dura 1 hora.
Feat/&RetributionDescription	Dano de construção 1D4 + Int quando atacado
Feat/&RetributionTitle	Retribuição
